Data,Ano,Competicao,Adversario,Pontos,Ataque,Bloqueio,Saque,Contra_Italia,Jogo
2024-06-23,2024,VNL_2024,Polônia,10,6,3,1,0,Polônia - VNL_2024
2024-06-22,2024,VNL_2024,Japão,6,6,0,0,0,Japão - VNL_2024
2024-06-20,2024,VNL_2024,Thailand,14,12,1,1,0,Thailand - VNL_2024
2024-06-16,2024,VNL_2024,Turquia,9,6,1,2,0,Turquia - VNL_2024
2024-06-14,2024,VNL_2024,Bulgaria,15,11,2,2,0,Bulgaria - VNL_2024
2024-06-13,2024,VNL_2024,Alemanha,0,0,0,0,0,Alemanha - VNL_2024
2024-06-12,2024,VNL_2024,Polônia,0,0,0,0,0,Polônia - VNL_2024
2024-06-02,2024,VNL_2024,Thailand,1,0,1,0,0,Thailand - VNL_2024
2024-06-01,2024,VNL_2024,Itália,22,18,3,1,1,Itália - VNL_2024
2024-05-30,2024,VNL_2024,Países Baixos,19,17,1,1,0,Países Baixos - VNL_2024
2024-05-28,2024,VNL_2024,Japão,14,12,1,1,0,Japão - VNL_2024
2024-05-19,2024,VNL_2024,Sérvia,11,9,1,1,0,Sérvia - VNL_2024
2024-05-18,2024,VNL_2024,Estados Unidos,13,12,0,1,0,Estados Unidos - VNL_2024
2024-05-16,2024,VNL_2024,Korea,18,16,2,0,0,Korea - VNL_2024
2024-05-15,2024,VNL_2024,Canada,21,17,2,2,0,Canada - VNL_2024
2025-07-10,2025,VNL_2025,França,5,5,0,0,0,França - VNL_2025
2025-07-09,2025,VNL_2025,Bulgaria,0,0,0,0,0,Bulgaria - VNL_2025
2025-06-22,2025,VNL_2025,Turquia,27,24,2,1,0,Turquia - VNL_2025
2025-06-21,2025,VNL_2025,Dominican Republic,27,23,2,2,0,Dominican Republic - VNL_2025
2025-06-20,2025,VNL_2025,Canada,13,13,0,0,0,Canada - VNL_2025
2025-06-18,2025,VNL_2025,Belgium,22,20,1,1,0,Belgium - VNL_2025
2025-06-08,2025,VNL_2025,Itália,16,13,1,2,1,Itália - VNL_2025
2025-06-07,2025,VNL_2025,Alemanha,21,18,2,1,0,Alemanha - VNL_2025
2025-06-06,2025,VNL_2025,Estados Unidos,20,16,2,2,0,Estados Unidos - VNL_2025
2025-06-04,2025,VNL_2025,Czechia,16,15,0,1,0,Czechia - VNL_2025
2026-06-17,2026,VNL_2026,França,13,10,1,2,0,França - VNL_2026
2026-06-07,2026,VNL_2026,Itália,22,20,0,2,1,Itália - VNL_2026
2026-06-06,2026,VNL_2026,Bulgaria,13,10,2,1,0,Bulgaria - VNL_2026
2026-06-04,2026,VNL_2026,Dominican Republic,8,7,1,0,0,Dominican Republic - VNL_2026
2026-06-03,2026,VNL_2026,Países Baixos,9,8,0,1,0,Países Baixos - VNL_2026
2024-08-10,2024,OLIMPIADAS_2024,Turquia,13,9,3,1,0,Turquia - OLIMPIADAS_2024
2024-08-08,2024,OLIMPIADAS_2024,Estados Unidos,24,22,2,0,0,Estados Unidos - OLIMPIADAS_2024
2024-08-06,2024,OLIMPIADAS_2024,Dominican Republic,14,10,1,3,0,Dominican Republic - OLIMPIADAS_2024
2024-08-04,2024,OLIMPIADAS_2024,Polônia,10,8,0,2,0,Polônia - OLIMPIADAS_2024
2024-08-01,2024,OLIMPIADAS_2024,Japão,15,13,2,0,0,Japão - OLIMPIADAS_2024
2024-07-29,2024,OLIMPIADAS_2024,Kenya,6,5,1,0,0,Kenya - OLIMPIADAS_2024
